Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;ModelCamera;OberturaDiafragma;ISO
kAwBQz2pjTU;Modern apartment building with repeating balconies against dark sky;;2026;LlumNatural|VelocitatDObturacio|ComposicioVisual;https://images.unsplash.com/photo-1770279726839-f537f21c6d32?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2MXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4551;6827;#262626;72;TIFF;Fujifilm X-T4;1,4;200
-FMBSd5ZPdk;Snow-covered evergreen trees on a misty winter day.;;2026;;https://images.unsplash.com/photo-1770490085047-1460359929e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2Mnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;5103;3827;#d9d9d9;150;PNG;Fujifilm X-T4;1,4;400
l0uhKKvNaak;Black and white portrait of a woman with dramatic lighting.;;2026;DistanciaFocal;https://images.unsplash.com/photo-1770296877116-c4973c84d339?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2M3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3581;5371;#d9d9d9;150;WebP;Sony A7R;1,8;1600
7ddaKmX7Tow;Man holding tablet standing by a wooden fence outdoors;;2025;ComposicioVisual|LlumNatural|Enquadrament|RevelatDigital|RetratNarratiu;https://images.unsplash.com/photo-1761839257870-06874bda71b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw2NHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4175;2789;#f3f3f3;96;TIFF;Sony A7R;1,8;400
UxW63Tbtyjk;Close-up of a dark palm leaf with radiating lines;;2026;RetratNarratiu;https://images.unsplash.com/photo-1770308418146-0778dea60573?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2NXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;7008;4672;#262626;96;JPEG;Canon EOS 5D;5,6;100
zOswuW8kFhc;Glass block windows on a white building facade;;2026;VelocitatDObturacio|SensibilitatISO;https://images.unsplash.com/photo-1770504654725-9b64ccae2229?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2Nnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4492;6774;#8c8c8c;300;JPEG;Leica M10;5,6;400
nnaphdlX1WY;Curving modern architecture with glass ceiling;;2026;RevelatDigital|VelocitatDObturacio;https://images.unsplash.com/photo-1769697705387-591bfddc2861?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2N3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3648;5472;#262626;96;JPEG;Nikon D850;1,4;200
KE4bV4dKlwk;A woman with long, wavy hair in a black top.;;2026;LlumNatural|RetratNarratiu;https://images.unsplash.com/photo-1770576568718-6747e3d85de8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2OHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6336;9504;#c0c0c0;96;JPEG;Fujifilm X-T4;5,6;400
4iTQFfuiFzc;Cozy living room with sectional sofa and fireplace.;;2026;;https://images.unsplash.com/photo-1770736158887-9a0f3702416e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2OXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3400;2267;#8c7359;72;TIFF;Sony A7R;8;3200
RTESDadqR9I;A person walks on a snowy path through a forest.;;2026;SensibilitatISO|RevelatDigital|DistanciaFocal|RetratNarratiu;https://images.unsplash.com/photo-1770754288999-c545fc028b18?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3MHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6128;8144;#0c2626;300;JPEG;Sony A7R;1,8;1600
A5xiXjyxmAU;Woman in salon gives peace sign towards camera;;2025;;https://images.unsplash.com/photo-1761839256840-7780a45b85dc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw3MXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;5199;3466;#262626;72;JPEG;Canon EOS 5D;5,6;800
yPXr1TdNL-U;Rugged mountain peaks under a cloudy sky;;2026;Instantania|Fotometria|RetratNarratiu|SensibilitatISO;https://images.unsplash.com/photo-1770753105322-fdca548966b0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3Mnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6336;9504;#26260c;150;JPEG;Sony A7R;1,8;100
amQ-Lri7snM;Two cans of karoo brew beer in ice;;2026;DistanciaFocal|BalançDeBlancs|Fotometria;https://images.unsplash.com/photo-1770230901490-a9e30b2f3e75?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3M3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#f3f3f3;300;JPEG;Nikon D850;1,8;400
tJQlnPt1YuQ;Abstract streaks of light converge in a dark space.;;2026;BalançDeBlancs|SensibilitatISO|DistanciaFocal|RevelatDigital;https://images.unsplash.com/photo-1769762831308-bd5e5248de3b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3NHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;7680;4320;#262626;72;PNG;Nikon D850;1,4;200
9GxWfpg8FbA;A view of a mountain with trees in the foreground;;2024;BalançDeBlancs|SensibilitatISO|DistanciaFocal|RevelatDigital;https://images.unsplash.com/photo-1729188430376-e3908f87e7f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3NXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4842;3228;#f3f3f3;300;WebP;Leica M10;1,4;800
kow5jLC9IPI;Winding road through terraced hills at dusk;;2026;;https://images.unsplash.com/photo-1770027217960-a0a09e423b77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3Nnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;5883;3927;#26260c;96;TIFF;Fujifilm X-T4;1,8;800
cweuVtdW1d0;Vibrant cityscape with illuminated skyscrapers at night;;2026;RevelatDigital|BalançDeBlancs|Instantania;https://images.unsplash.com/photo-1770215963091-e59d8947e4b1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3N3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6000;4000;#0c2640;96;JPEG;Fujifilm X-T4;2,8;100
mpKGpTdCI-E;Two women preparing food in a kitchen.;;2025;ComposicioVisual;https://images.unsplash.com/photo-1761839257845-9283b7d1b933?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw3OHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#c0c0c0;72;PNG;Fujifilm X-T4;8;100
4FGm3jtvUnI;Abstract metallic rings with glowing orb inside;;2026;ComposicioVisual;https://images.unsplash.com/photo-1770031079091-c6356e82ea9b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3OXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3840;2160;#262626;72;PNG;Fujifilm X-T4;8;200
U3xwEALCq5Q;Looking up through tall, misty trees in a dark forest;;2026;BalançDeBlancs|ProfunditatDeCamp;https://images.unsplash.com/photo-1770105328550-b0e90d770c17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4MHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6584;4389;#262626;96;WebP;Canon EOS 5D;1,4;800
tlvehmbP0ZM;A bustling street scene in a dense urban environment.;;2026;LlumNatural|DistanciaFocal|Fotometria;https://images.unsplash.com/photo-1770131101355-bf6959fbbcdf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4MXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4000;5000;#0c2626;72;JPEG;Leica M10;5,6;1600
0v-zmlHz74M;Person standing on a dock at sunset;;2026;ProfunditatDeCamp|DistanciaFocal|BalançDeBlancs|SensibilitatISO|VelocitatDObturacio;https://images.unsplash.com/photo-1770347258014-06c8acdb77c3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4Mnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3089;2048;#f3d9c0;72;WebP;Leica M10;1,4;200
B2T68Z6f2_U;Modern glass building with reflective facade;;2026;ComposicioVisual|RetratNarratiu|SensibilitatISO|VelocitatDObturacio|Instantania;https://images.unsplash.com/photo-1769953719710-5b9be66be834?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4M3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#262626;96;JPEG;Sony A7R;2,8;400
hscOXkbEifE;A hand holds a vintage camera with a large lens.;;2026;SensibilitatISO|LlumNatural|DistanciaFocal|Enquadrament|ProfunditatDeCamp|Instantania;https://images.unsplash.com/photo-1770246875321-16e16c247ff7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4NHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3070;4605;#a68c73;96;TIFF;Leica M10;8;3200
rKdG42oAfSY;Young woman holding running shoes at track;;2025;Enquadrament|DistanciaFocal|SensibilitatISO;https://images.unsplash.com/photo-1761839257165-44f08ed617c7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw4NXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4240;2832;#f3f3f3;300;TIFF;Nikon D850;2,8;800
e5pi0nt_UpI;Busy night market street lined with stalls and people;;2026;ProfunditatDeCamp|RevelatDigital|LlumNatural;https://images.unsplash.com/photo-1770297346253-f1255dd167dc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4Nnx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#0c2626;300;WebP;Leica M10;8;400
WRg38tlUX2M;Modern white building with geometric balconies and windows;;2026;;https://images.unsplash.com/photo-1770743091031-ae421daf526d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4N3x8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3949;5265;#d9d9d9;72;PNG;Sony A7R;2,8;1600
-dy_tuTV4oo;Colorful buildings line a snowy canal with boats.;;2026;BalançDeBlancs|ProfunditatDeCamp|VelocitatDObturacio|Enquadrament;https://images.unsplash.com/photo-1770379837808-7264c6e3eb94?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4OHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;5152;7728;#d9c0c0;72;WebP;Sony A7R;1,8;200
vBtJYXG6yPA;Sunlight streams through a misty forest canopy.;;2026;;https://images.unsplash.com/photo-1770364360811-58c0fdb88f18?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw4OXx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;6515;4343;#0c2626;96;PNG;Nikon D850;4;400
377wpNK0_fM;Cracked ice fragments in shades of blue;;2026;DistanciaFocal|VelocitatDObturacio|RetratNarratiu|Fotometria|Instantania|ComposicioVisual;https://images.unsplash.com/photo-1770462988018-7d1c4b198ead?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5MHx8fHx8fHx8MTc3MTAxMjA1NHw&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#40738c;96;PNG;Nikon D850;8;200
ghMXd_muObI;Mountain peak emerging from swirling clouds at sunrise.;;2026;BalançDeBlancs|RetratNarratiu|RevelatDigital|Fotometria;https://images.unsplash.com/photo-1770576626732-1074db4467af?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5MXx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;5021;2824;#f3d9c0;150;PNG;Sony A7R;1,4;100
o8gGuhfjB2M;Three young people walk through a dry grassy field.;;2025;RetratNarratiu|DistanciaFocal;https://images.unsplash.com/photo-1761839258045-6ef373ab82a7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw5Mnx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#f3f3f3;96;TIFF;Fujifilm X-T4;4;1600
4tYCKtVrjzs;Modern dining table with chairs in sunlit room;;2026;;https://images.unsplash.com/photo-1770646403987-64cf5c08c870?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5M3x8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;2267;3400;#c0c0a6;96;TIFF;Sony A7R;1,4;100
_sfkIInPw9Y;Surfer holding surfboard on cliff overlooking ocean waves;;2026;ComposicioVisual|VelocitatDObturacio;https://images.unsplash.com/photo-1770670588069-821d14f2af5c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5NHx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;4102;5135;#f3f3d9;72;JPEG;Leica M10;4;3200
KZXEPxRRSWs;Red lanterns strung between buildings on a foggy day;;2026;ProfunditatDeCamp|RevelatDigital;https://images.unsplash.com/photo-1770679172678-bce697fe983e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5NXx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;3648;5472;#a6c0c0;96;PNG;Sony A7R;1,4;100
aDjny7Tl-00;Silhouette of a lit christmas tree against a cloudy sky.;;2026;DistanciaFocal|LlumNatural|SensibilitatISO|RetratNarratiu|ComposicioVisual;https://images.unsplash.com/photo-1770759789872-591eae6855d1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5Nnx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;2086;2533;#f3f3f3;72;PNG;Fujifilm X-T4;8;800
2F-m1FvoJT4;Silhouette trees against a colorful night sky;;2026;Enquadrament|LlumNatural|Fotometria;https://images.unsplash.com/photo-1770110000509-6c8298224699?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5N3x8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;7446;4964;#264040;300;JPEG;Leica M10;2,8;1600
_4I17uBqQ5A;Young woman with dark hair and bangs, wearing red.;;2026;SensibilitatISO|DistanciaFocal|BalançDeBlancs|RetratNarratiu|Instantania;https://images.unsplash.com/photo-1770135157320-68ecfe9cd608?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5OHx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;5165;7747;#8c8ca6;300;TIFF;Leica M10;1,4;800
DdcWKBbJeEI;Tractor harvesting crops in a field;;2025;ComposicioVisual|Enquadrament|RetratNarratiu|Fotometria|Instantania;https://images.unsplash.com/photo-1761839257961-4dce65b72d99?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw5OXx8fHx8fHx8MTc3MTAxMjEwNnw&ixlib=rb-4.1.0&q=80&w=1080;6144;3456;#8c8c59;150;PNG;Leica M10;8;1600
QiUW3dfDVS0;Neon signs illuminate a busy street at night.;;2026;ComposicioVisual|VelocitatDObturacio|Enquadrament;https://images.unsplash.com/photo-1770297346180-6ae7191f0817?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDB8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;3796;5694;#262626;72;TIFF;Leica M10;5,6;100
sf5uKI1b5eY;Cracked ice floats on dark water surface;;2026;RetratNarratiu|RevelatDigital;https://images.unsplash.com/photo-1770462987947-1a7e1d7025b4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDF8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#0c2640;300;WebP;Sony A7R;4;100
i0V2AruNYQo;Woman with large sunglasses and jewelry touching her face;;2026;RetratNarratiu|ComposicioVisual|SensibilitatISO|VelocitatDObturacio|RevelatDigital|BalançDeBlancs;https://images.unsplash.com/photo-1770419252605-842922d2d6a3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDJ8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;2624;3936;#f3f3f3;300;WebP;Canon EOS 5D;4;200
CjKc9tyzo0k;A person's legs submerged in clear blue water.;;2026;RevelatDigital|Fotometria|BalançDeBlancs;https://images.unsplash.com/photo-1770425033997-7110b9c23c9e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDN8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;5472;3648;#0c598c;72;WebP;Leica M10;1,4;1600
8MbRTJdrc5g;Person standing by a futuristic vehicle on a salt flat.;;2026;Enquadrament|DistanciaFocal|BalançDeBlancs;https://images.unsplash.com/photo-1770663629791-1fc3d14017dc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDR8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4032;6048;#0c5973;96;TIFF;Sony A7R;5,6;400
tDL0gmzpppw;Pancakes with fruit and cream served outdoors;;2026;RetratNarratiu|Enquadrament|ProfunditatDeCamp|SensibilitatISO|RevelatDigital|Instantania;https://images.unsplash.com/photo-1769689461322-fa732e9df2ab?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDV8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;2075;3130;#0c260c;300;WebP;Fujifilm X-T4;5,6;200
-NwK3jWezuI;Elderly couple sitting together outdoors;;2025;;https://images.unsplash.com/photo-1761839257647-df30867afd54?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxMDZ8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;5472;3648;#c0a673;96;TIFF;Leica M10;8;3200
GTKYpujV1lQ;Framed art with vietnam text and beer mugs.;;2026;ProfunditatDeCamp|Instantania;https://images.unsplash.com/photo-1769701164899-5844b50c8aec?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDd8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4515;3010;#c0c0a6;72;WebP;Sony A7R;1,4;400
QrkNjxts3qc;A quaint storefront with an arched entrance and display window;;2026;Enquadrament|SensibilitatISO|ComposicioVisual|LlumNatural|ProfunditatDeCamp;https://images.unsplash.com/photo-1769699077605-d07a1bdcc6a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDh8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;3716;4645;#c0a68c;72;JPEG;Fujifilm X-T4;2,8;1600
0od64wNWZgk;a bride and groom standing on the beach at sunset;;2024;VelocitatDObturacio|ProfunditatDeCamp|RetratNarratiu|LlumNatural|BalançDeBlancs|DistanciaFocal;https://images.unsplash.com/photo-1718421280278-4402ea0c00eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMDl8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;5065;3377;#404040;96;PNG;Sony A7R;4;100
WtvfDmEqoNM;Two people walk with umbrellas on a rainy city street.;;2026;SensibilitatISO|Fotometria|ComposicioVisual;https://images.unsplash.com/photo-1769784496924-dd5a8e08e8f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTB8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4085;6128;#0c2626;96;JPEG;Leica M10;5,6;100
tucQ4Iu_OXE;A boot stepping into fresh snow;;2026;SensibilitatISO|Enquadrament;https://images.unsplash.com/photo-1769788873006-b5dabec1cf38?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTF8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4000;2700;#d9d9d9;72;TIFF;Leica M10;8;800
bnzK3Ndc0qY;Jagged rock formations silhouetted against a golden sunset sky.;;2026;LlumNatural;https://images.unsplash.com/photo-1769911646566-e2153ddb56d9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTJ8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;8157;5441;#8c7359;300;JPEG;Canon EOS 5D;8;200
yPBP2u24rMs;Family interacts with a woman near a shed.;;2025;Enquadrament;https://images.unsplash.com/photo-1761839259112-aaea03db3633?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxMTN8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;7920;5280;#404026;96;TIFF;Canon EOS 5D;1,8;3200
CgHNmQ0c2w4;Black tote bag and caps hanging on hooks.;;2026;ProfunditatDeCamp|VelocitatDObturacio|Instantania;https://images.unsplash.com/photo-1770017863938-237bd953a6e6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTR8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;5334;3551;#a6a68c;96;JPEG;Fujifilm X-T4;4;1600
k1WVgtr2zDA;A large format printer with paper and artwork.;;2026;Instantania;https://images.unsplash.com/photo-1770017863955-56a1501a3c93?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTV8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;3517;5283;#c0c0a6;72;PNG;Sony A7R;2,8;1600
Es--yoQocSM;Woman with red hair covering mouth with hair;;2026;Instantania|Fotometria|BalançDeBlancs;https://images.unsplash.com/photo-1770009079271-4c3764aabffa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTZ8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;2207;3130;#404026;96;WebP;Nikon D850;8;3200
KaFfNTw8OYQ;Narrow canal between old european buildings;;2026;BalançDeBlancs|RevelatDigital|SensibilitatISO|Fotometria|DistanciaFocal|LlumNatural;https://images.unsplash.com/photo-1769945539465-dd1119f56f08?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTd8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;5152;7728;#f3d9d9;72;TIFF;Leica M10;5,6;800
78-DV905ZcA;Long empty road stretching into a snowy landscape;;2026;SensibilitatISO|Instantania|ComposicioVisual|Fotometria|Enquadrament;https://images.unsplash.com/photo-1769788873190-6ae0ba661bcc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTh8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4000;2700;#d9d9d9;300;PNG;Nikon D850;8;3200
Glx_NioZrG8;American football player in red uniform kneels on field.;;2026;DistanciaFocal|RetratNarratiu|Fotometria|Enquadrament|RevelatDigital|ProfunditatDeCamp;https://images.unsplash.com/photo-1770009534034-85be3c774f60?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMTl8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;8736;11648;#264026;300;JPEG;Nikon D850;4;100
BlXa_riHlp4;Couple shopping for gourds at an outdoor market.;;2025;;https://images.unsplash.com/photo-1761839257664-ecba169506c1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxMjB8fHx8fHx8fDE3NzEwMTIxMDZ8&ixlib=rb-4.1.0&q=80&w=1080;4240;2832;#f3f3f3;300;TIFF;Nikon D850;1,8;100
gkzP5awCZAQ;Person works on laptop near large window with plants.;;2026;Fotometria|RetratNarratiu;https://images.unsplash.com/photo-1769950268368-f927c5cab379?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjF8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;2075;2593;#f3f3f3;300;JPEG;Sony A7R;2,8;100
